epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5429,1.64916,2.00088,1.25179,0.59848,0.505,0.56838,0.26456,1.97833,1.55129,1.71024,0.067165,0.000331667,0.000331667
2,26.2703,1.4657,1.19439,1.19712,0.74857,0.54009,0.61394,0.2924,2.03404,1.51521,1.85123,0.0341644,0.00066435,0.00066435
3,38.8323,1.40128,1.03707,1.16521,0.69499,0.70556,0.73954,0.33066,1.97395,1.08531,1.75291,0.0011611,0.000994437,0.000994437
4,51.0872,1.36804,0.96044,1.14636,0.68512,0.66953,0.68728,0.29661,2.12091,1.14751,1.78698,0.000991232,0.000991232,0.000991232
5,63.4021,1.3342,0.88122,1.13822,0.78312,0.75255,0.79595,0.44136,1.66636,0.81818,1.51454,0.000984449,0.000984449,0.000984449
6,75.7978,1.30098,0.84585,1.11657,0.84964,0.73209,0.77746,0.44093,1.61511,0.89233,1.49558,0.000975773,0.000975773,0.000975773
7,88.0654,1.28685,0.82064,1.11069,0.88728,0.67967,0.76951,0.39455,1.56037,1.11532,1.51402,0.000965239,0.000965239,0.000965239
8,100.516,1.27767,0.79106,1.09791,0.88251,0.73394,0.8052,0.44607,1.68213,1.03258,1.50829,0.000952889,0.000952889,0.000952889
9,112.912,1.25459,0.77714,1.08893,0.86059,0.71354,0.74715,0.40413,1.61515,0.89839,1.54753,0.000938772,0.000938772,0.000938772
10,125.262,1.25308,0.77057,1.07821,0.863,0.75678,0.84439,0.48862,1.45599,0.84695,1.35056,0.000922942,0.000922942,0.000922942
11,137.639,1.22237,0.73742,1.07396,0.89902,0.75994,0.79567,0.36136,2.1541,0.90974,1.90015,0.000905463,0.000905463,0.000905463
12,150.132,1.20669,0.72392,1.06559,0.90306,0.74082,0.81819,0.45048,1.58537,0.80833,1.44081,0.000886404,0.000886404,0.000886404
13,162.443,1.21152,0.71981,1.06311,0.87954,0.80897,0.83525,0.48072,1.54332,0.68022,1.40382,0.000865839,0.000865839,0.000865839
14,174.638,1.19672,0.70384,1.0552,0.93599,0.815,0.87489,0.47857,1.48338,0.7092,1.36086,0.000843851,0.000843851,0.000843851
15,186.937,1.17384,0.68618,1.05074,0.94118,0.80399,0.83123,0.47498,1.52317,0.72544,1.46757,0.000820525,0.000820525,0.000820525
16,199.201,1.19044,0.68709,1.04772,0.94867,0.81883,0.86898,0.49612,1.44126,0.67543,1.35604,0.000795954,0.000795954,0.000795954
17,211.582,1.17721,0.67836,1.04574,0.93531,0.8153,0.84754,0.51983,1.41958,0.65121,1.34242,0.000770234,0.000770234,0.000770234
