epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.2744,1.13626,0.6831,1.01133,0.91584,0.8967,0.92754,0.62365,1.10943,0.52059,1.12772,0.0668664,6.64e-05,6.64e-05
2,168.762,1.11848,0.64896,1.00838,0.88917,0.87215,0.90253,0.63007,1.10382,0.50845,1.15106,0.0335989,0.000132256,0.000132256
3,248.264,1.10396,0.62012,1.00017,0.97308,0.81915,0.9099,0.62752,1.06317,0.52069,1.14455,0.000328228,0.000194894,0.000194894
4,328.043,1.1025,0.60748,0.99504,0.90487,0.87963,0.92099,0.62919,1.05706,0.50032,1.08734,0.00018921,0.00018921,0.00018921
5,407.369,1.1098,0.60977,0.99931,0.97178,0.83607,0.91251,0.63164,1.126,0.51232,1.11816,0.000181093,0.000181093,0.000181093
6,487.284,1.10221,0.60103,0.99856,0.91228,0.87192,0.90766,0.62811,1.104,0.49441,1.12445,0.000171004,0.000171004,0.000171004
7,566.681,1.08873,0.5887,0.99131,0.91045,0.8861,0.9107,0.65363,1.04202,0.47661,1.10317,0.000159191,0.000159191,0.000159191
8,646.329,1.09209,0.59123,0.99317,0.9661,0.83733,0.90714,0.62099,1.09525,0.50759,1.15437,0.000145945,0.000145945,0.000145945
9,725.596,1.08802,0.58889,0.99151,0.88024,0.89249,0.92648,0.6646,1.05793,0.49578,1.088,0.000131593,0.000131593,0.000131593
10,805.18,1.0732,0.57679,0.99144,0.85385,0.90841,0.92768,0.64995,1.08083,0.49344,1.10358,0.000116487,0.000116487,0.000116487
11,885.202,1.07743,0.57041,0.98753,0.90602,0.90006,0.93026,0.62723,1.1164,0.47646,1.10659,0.000101,0.000101,0.000101
12,964.703,1.07345,0.57553,0.98775,0.89707,0.88945,0.91574,0.64414,1.04472,0.48845,1.08895,8.5513e-05,8.5513e-05,8.5513e-05
13,1044.78,1.04229,0.53391,0.97666,0.89939,0.87819,0.92357,0.6517,1.0885,0.49039,1.0991,7.04073e-05,7.04073e-05,7.04073e-05
14,1123.98,1.03938,0.53472,0.9698,0.92148,0.86605,0.91645,0.6541,1.02353,0.48038,1.08178,5.60549e-05,5.60549e-05,5.60549e-05
15,1203.18,1.04531,0.5268,0.97374,0.90022,0.87953,0.91632,0.65445,1.01361,0.47936,1.07773,4.28093e-05,4.28093e-05,4.28093e-05
16,1282.38,1.03184,0.52207,0.97637,0.88368,0.8874,0.9149,0.64427,1.04385,0.48168,1.09065,3.09964e-05,3.09964e-05,3.09964e-05
17,1361.88,1.03736,0.52566,0.97437,0.88473,0.88194,0.91419,0.66464,0.99827,0.47288,1.07838,2.09073e-05,2.09073e-05,2.09073e-05
18,1441.46,1.02657,0.51569,0.97309,0.87479,0.88175,0.91129,0.66221,1.0036,0.4823,1.08159,1.27904e-05,1.27904e-05,1.27904e-05
19,1520.86,1.0276,0.52198,0.97212,0.87641,0.88177,0.91345,0.66956,0.99538,0.47232,1.0776,6.8454e-06,6.8454e-06,6.8454e-06
20,1600.28,1.03882,0.51354,0.97255,0.88179,0.88141,0.91522,0.66402,0.99699,0.47513,1.07765,3.21885e-06,3.21885e-06,3.21885e-06
