epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.87,1.13417,0.67542,1.0341,0.96818,0.84538,0.91069,0.61919,1.15412,0.48379,1.19082,0.0668664,6.64e-05,6.64e-05
2,82.4379,1.11705,0.63459,1.02911,0.93104,0.86269,0.91678,0.6308,1.12858,0.49241,1.15984,0.0335989,0.000132256,0.000132256
3,119.747,1.10648,0.61392,1.02637,0.93966,0.85994,0.90808,0.63357,1.07069,0.48823,1.11742,0.000328228,0.000194894,0.000194894
4,156.778,1.09906,0.59651,1.01666,0.97591,0.83101,0.89775,0.60155,1.13671,0.45956,1.16379,0.00018921,0.00018921,0.00018921
5,193.531,1.1034,0.59877,1.02179,0.96241,0.82323,0.91012,0.60558,1.19875,0.50056,1.18748,0.000181093,0.000181093,0.000181093
6,230.349,1.09595,0.59478,1.02011,0.94813,0.87122,0.89899,0.59305,1.22729,0.46775,1.21427,0.000171004,0.000171004,0.000171004
7,266.855,1.08277,0.57551,1.01173,0.88251,0.88912,0.91589,0.64389,1.06989,0.48761,1.11358,0.000159191,0.000159191,0.000159191
8,304.021,1.08785,0.58107,1.01344,0.91388,0.8751,0.92499,0.62615,1.11825,0.45469,1.14841,0.000145945,0.000145945,0.000145945
9,340.669,1.08607,0.57931,1.01151,0.9473,0.8562,0.92023,0.643,1.08928,0.44806,1.14248,0.000131593,0.000131593,0.000131593
10,377.476,1.07054,0.56552,1.01105,0.95699,0.86137,0.90645,0.64152,1.0762,0.41908,1.11898,0.000116487,0.000116487,0.000116487
11,414.214,1.07018,0.56512,1.00446,0.96779,0.85297,0.90887,0.61466,1.20652,0.46822,1.20019,0.000101,0.000101,0.000101
12,451.13,1.06614,0.5596,1.00927,0.91217,0.86615,0.91395,0.63654,1.06116,0.42334,1.10601,8.5513e-05,8.5513e-05,8.5513e-05
13,487.969,1.04006,0.51956,0.99833,0.94454,0.8667,0.91207,0.64433,1.02427,0.42068,1.08784,7.04073e-05,7.04073e-05,7.04073e-05
14,524.774,1.03921,0.52496,0.99139,0.97477,0.83863,0.91299,0.64752,1.01359,0.4173,1.0871,5.60549e-05,5.60549e-05,5.60549e-05
15,561.648,1.03836,0.51541,0.99132,0.92285,0.87102,0.91254,0.64925,1.01715,0.41292,1.08593,4.28093e-05,4.28093e-05,4.28093e-05
16,598.273,1.02001,0.50306,0.99132,0.93731,0.85876,0.91077,0.63873,1.0546,0.40427,1.10135,3.09964e-05,3.09964e-05,3.09964e-05
17,634.906,1.0298,0.50883,0.99109,0.9304,0.86692,0.91475,0.65208,1.01105,0.39793,1.08127,2.09073e-05,2.09073e-05,2.09073e-05
18,671.408,1.01796,0.49976,0.99152,0.95372,0.85559,0.91171,0.64692,0.99396,0.39564,1.07464,1.27904e-05,1.27904e-05,1.27904e-05
19,707.781,1.01832,0.5018,0.98701,0.93939,0.88482,0.92545,0.65743,0.98623,0.39367,1.06772,6.8454e-06,6.8454e-06,6.8454e-06
20,744.594,1.02838,0.50134,0.98883,0.94084,0.88477,0.92372,0.65852,0.98595,0.39281,1.06869,3.21885e-06,3.21885e-06,3.21885e-06
