epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5087,1.64902,1.93834,1.2728,0.71797,0.41087,0.54749,0.30666,1.86599,1.60882,1.77799,0.067165,0.000331667,0.000331667
2,67.2255,1.46497,1.11568,1.22361,0.79313,0.65801,0.728,0.36994,1.58794,1.24034,1.53608,0.034164,0.000663985,0.000663985
3,96.686,1.37744,0.9702,1.17678,0.67441,0.64595,0.65781,0.32565,1.85621,1.57046,1.85096,0.00115892,0.000992249,0.000992249
4,125.879,1.36996,0.90616,1.16681,0.82185,0.70427,0.70904,0.3966,1.53751,1.09505,1.46421,0.000986323,0.000986323,0.000986323
5,155.165,1.32852,0.8387,1.15321,0.86108,0.68535,0.75475,0.43506,1.50599,1.12186,1.53972,0.000975773,0.000975773,0.000975773
6,184.505,1.29863,0.81233,1.13249,0.82539,0.74803,0.78892,0.45231,1.48785,0.84646,1.41869,0.00096232,0.00096232,0.00096232
7,213.772,1.26116,0.77495,1.12233,0.91138,0.72418,0.77527,0.44275,1.62576,0.8787,1.55324,0.000946048,0.000946048,0.000946048
8,242.948,1.23755,0.74499,1.09757,0.7913,0.72998,0.75043,0.44785,1.45702,1.09669,1.43018,0.000927057,0.000927057,0.000927057
9,272.063,1.23726,0.74397,1.09952,0.91759,0.76531,0.82702,0.5088,1.33826,0.6981,1.34953,0.000905463,0.000905463,0.000905463
10,301.494,1.23662,0.73531,1.08795,0.92154,0.78738,0.83607,0.5086,1.4703,0.70096,1.41018,0.000881401,0.000881401,0.000881401
11,330.613,1.19484,0.69779,1.07821,0.85095,0.78557,0.82173,0.48352,1.39976,0.90667,1.42254,0.000855018,0.000855018,0.000855018
12,359.915,1.19329,0.68403,1.07616,0.95278,0.80848,0.85051,0.48533,1.47457,0.73451,1.38299,0.000826477,0.000826477,0.000826477
13,389.096,1.18712,0.67952,1.06983,0.94153,0.79987,0.85731,0.52889,1.37358,0.62872,1.36156,0.000795954,0.000795954,0.000795954
14,418.48,1.17451,0.67662,1.06133,0.95413,0.80819,0.86005,0.48306,1.47226,0.74696,1.33204,0.000763637,0.000763637,0.000763637
15,447.593,1.14892,0.65098,1.056,0.94745,0.80533,0.85183,0.55759,1.30379,0.58899,1.27444,0.000729725,0.000729725,0.000729725
16,476.995,1.15497,0.65313,1.0481,0.93453,0.81216,0.8584,0.51154,1.42586,0.60385,1.41231,0.000694428,0.000694428,0.000694428
17,506.188,1.15631,0.64236,1.05322,0.8807,0.81819,0.8304,0.54304,1.22474,0.61886,1.25997,0.000657963,0.000657963,0.000657963
18,535.321,1.14663,0.62887,1.04963,0.96584,0.78839,0.84782,0.5364,1.34337,0.53784,1.27277,0.000620555,0.000620555,0.000620555
19,564.463,1.12243,0.60932,1.03959,0.96104,0.81785,0.86953,0.56291,1.20917,0.56182,1.21655,0.000582435,0.000582435,0.000582435
20,593.876,1.12781,0.6087,1.03952,0.9667,0.82143,0.86134,0.53463,1.26186,0.56942,1.25465,0.000543837,0.000543837,0.000543837
21,623.015,1.11985,0.59816,1.03136,0.94009,0.83384,0.87571,0.57423,1.14509,0.51706,1.2084,0.000505,0.000505,0.000505
22,652.43,1.10856,0.58784,1.02715,0.96441,0.82735,0.87685,0.57319,1.20486,0.52761,1.23176,0.000466163,0.000466163,0.000466163
23,681.536,1.09759,0.58165,1.02095,0.96461,0.84363,0.88913,0.58565,1.24824,0.51737,1.2166,0.000427565,0.000427565,0.000427565
